sample_id,audio_file,recording_url,year,grand_prix,country,location,meeting_key,session_key,session_type,session_name,driver_number,driver_name,team_name,lap,lap_time,sector_1,sector_2,sector_3,i1_speed,i2_speed,top_speed,is_pit_out_lap,radio_time,lap_start_time,radio_to_lap_start_seconds,tyre_compound,tyre_age,stint_number,position,gap_to_leader,interval,air_temperature,track_temperature,humidity,wind_speed,rainfall,quality_score
lap_04,lap_04.mp3,,,,,,,,,,,,,4,99.17,,,,,,,,2024-09-22T12:09:14.327000+00:00,,,,,,,,,,,,,,
lap_33,lap_33.mp3,,,,,,,,,,,,,33,97.449,,,,,,,,2024-09-22T12:57:13.511000+00:00,,,,,,,,,,,,,,
lap_44,lap_44.mp3,,,,,,,,,,,,,44,97.701,,,,,,,,2024-09-22T13:15:59.313000+00:00,,,,,,,,,,,,,,
lap_47,lap_47.mp3,,,,,,,,,,,,,47,97.636,,,,,,,,2024-09-22T13:20:23.772000+00:00,,,,,,,,,,,,,,
lap_52,lap_52.mp3,,,,,,,,,,,,,52,97.299,,,,,,,,2024-09-22T13:28:06.471000+00:00,,,,,,,,,,,,,,
2024_1229_9472_63_lap_03_radio_004,2024_1229_9472_63_lap_03_radio_004.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/GEORUS01_63_20240302_150720.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,63,George RUSSELL,Mercedes,3,96.406,30.367,42.202,23.837,232,250,318,False,2024-03-02T15:07:32.513000+00:00,2024-03-02T15:06:58.696000+00:00,33.817,SOFT,5,1,,,,18.3,23.8,49.0,1.0,0,100
2024_1229_9472_1_lap_04_radio_005,2024_1229_9472_1_lap_04_radio_005.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/MAXVER01_1_20240302_150926.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,4,96.647,30.931,41.892,23.824,233,253,,False,2024-03-02T15:09:49.409000+00:00,2024-03-02T15:08:33.130000+00:00,76.279,SOFT,6,1,,,,18.3,23.6,49.0,0.7,0,95
2024_1229_9472_63_lap_11_radio_006,2024_1229_9472_63_lap_11_radio_006.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/GEORUS01_63_20240302_152039.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,63,George RUSSELL,Mercedes,11,100.515,31.392,42.646,26.477,229,251,284,False,2024-03-02T15:21:13.764000+00:00,2024-03-02T15:20:00.058000+00:00,73.706,SOFT,13,1,,,,18.2,23.4,50.0,0.6,0,100
2024_1229_9472_44_lap_14_radio_007,2024_1229_9472_44_lap_14_radio_007.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_152558.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,14,97.178,31.073,42.404,23.701,231,246,288,False,2024-03-02T15:26:20.518000+00:00,2024-03-02T15:25:27.851000+00:00,52.667,HARD,1,2,,,,18.2,23.3,50.0,0.5,0,100
2024_1229_9472_44_lap_15_radio_008,2024_1229_9472_44_lap_15_radio_008.mp3,https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-02_Race/TeamRadio/LEWHAM01_44_20240302_152739.mp3,2024,Sakhir,Bahrain,Sakhir,1229,9472,Race,Race,44,Lewis HAMILTON,Mercedes,15,97.264,31.095,42.315,23.854,229,243,,False,2024-03-02T15:28:05.320000+00:00,2024-03-02T15:27:04.916000+00:00,60.404,HARD,2,2,,,,18.1,23.3,50.0,0.0,0,95
